constituency_geographic_code,country_name,constituency_name,result_summary_2024,con_2024,lab_2024,ruk_2024,turnout_2024,prev_con_2024,prev_lab_2024,con_lost_2024,con_2019,lab_2019,turnout_2019,pct_age_18_24,pct_age_65_plus,pct_born_outside_uk,pct_christian,pct_no_religion,pct_owner_occupiers,pct_no_qualifications,pct_higher_education,pct_white,pct_lgb_plus,hanretty_leave,DIF_Cons,DIF_Turnout
E14001063,England,Aldershot,Lab gain from Con,0.290067,0.407136,0.169125,0.617977671126501,1,0,1,0.56828356,0.22127035,0.675151436201394,0.076938798,0.161115889,0.221781282,0.432053138,0.383862727,0.631581227,0.176655063,0.299432371,0.793340407,0.030691713,0.578662357,-0.27821656,-0.0571737650748933
E14001064,England,Aldridge-Brownhills,Con hold,0.388663,0.283706,0.242056,0.582228041213639,1,0,0,0.696118,0.21518987,0.647151336123191,0.067202923,0.227759262,0.063350589,0.536546803,0.318708202,0.751689836,0.219354671,0.27151638,0.853638852,0.017361246,0.678900895,-0.307455,-0.0649232949095522
E14001065,England,Altrincham and Sale West,Lab gain from Con,0.323097,0.404221,0.09642,0.695062478892266,1,0,1,0.48045212,0.3683509,0.740701165904726,0.056151163,0.190271888,0.145894884,0.505380286,0.316891919,0.741800162,0.114933414,0.486556907,0.805613858,0.02263201,0.38376966,-0.15735512,-0.0456386870124597
E14001066,England,Amber Valley,Lab gain from Con,0.252169,0.370224,0.286661,0.594456713163559,1,0,1,0.6384266,0.26808307,0.645791150442478,0.067735435,0.219913199,0.035629242,0.438662533,0.490179362,0.699609047,0.216873092,0.243243964,0.976839643,0.024956673,0.652708724,-0.3862576,-0.0513344372789188
E14001067,England,Arundel and South Downs,Con hold,0.401918,0.178699,0.13502,0.702073901165848,1,0,0,0.60437137,0.15675071,0.754865279185179,0.052963573,0.28874254,0.080499314,0.5423973,0.381596279,0.729742522,0.141281082,0.37446642,0.967862856,0.021526419,0.487466869,-0.20245337,-0.0527913780193314
E14001068,England,Ashfield,RUK gain from Con,0.082017,0.289705,0.427812,0.578595366246428,1,0,1,0.3920464,0.25579175,0.615147739154098,0.070679113,0.199818987,0.05971998,0.420580714,0.502488924,0.670241615,0.244092963,0.20821175,0.95738806,0.025203357,0.70808832,-0.3100294,-0.036552372907671
E14001069,England,Ashford,Lab gain from Con,0.287025,0.324896,0.215881,0.616202956724778,1,0,1,0.5920048,0.23771589,0.660525385473037,0.070896955,0.169504854,0.152416737,0.455048448,0.418283949,0.648264463,0.173628212,0.293775259,0.860152343,0.026558578,0.608646824,-0.3049798,-0.0443224287482593
E14001070,England,Ashton-under-Lyne,Lab hold,0.123375,0.439215,0.247709,0.49943663558773,0,1,0,0.36198854,0.47531238,0.572470184565151,0.074550925,0.16320635,0.146071336,0.466723311,0.349980008,0.575667866,0.233741551,0.235025362,0.794948342,0.033278373,0.625702731,-0.23861354,-0.0730335489774213
E14001071,England,Aylesbury,Lab gain from Con,0.289367,0.301982,0.135082,0.630802460559057,1,0,1,0.51692927,0.22947761,0.765349833412661,0.068466872,0.156190337,0.182252605,0.457337572,0.355879559,0.662736757,0.156639517,0.346249727,0.784702641,0.025595368,0.509793311,-0.22756227,-0.134547372853603
E14001072,England,Banbury,Lab gain from Con,0.315746,0.383328,0.130433,0.657720136518771,1,0,1,0.51952374,0.24794331,0.726448679639135,0.065798661,0.193836108,0.159869802,0.506849046,0.37665326,0.638608622,0.169655056,0.348220871,0.897052894,0.027348898,0.476675695,-0.20377774,-0.0687285431203634
E14001073,England,Barking,Lab hold,0.117718,0.444856,0.141815,0.456979278895543,0,1,0,0.26824155,0.60937613,0.57112026955529,0.08690421,0.076404562,0.433585352,0.437003049,0.177467567,0.39296523,0.222996657,0.341363299,0.422842099,0.024049745,0.597285138,-0.15052355,-0.114140990659747
E14001074,England,Barnsley North,Lab hold,0.083564,0.504418,0.292703,0.471344252242124,0,1,0,0.23972572,0.3853642,0.579211917597729,0.069825747,0.187267351,0.066958217,0.513110048,0.420267943,0.623999826,0.256276752,0.226995016,0.967732675,0.026361153,0.693087318,-0.15616172,-0.107867665355605
E14001075,England,Barnsley South,Lab hold,0.092555,0.467448,0.332108,0.462499835207573,0,1,0,0.22653835,0.41815078,0.49420259302203,0.072598795,0.18499199,0.072458419,0.497191627,0.437448148,0.577075607,0.273725969,0.201920143,0.967853712,0.028180089,0.713414692,-0.13398335,-0.0317027578144576
